value,status
"grants you a royalty-free, non-exclusive, non-transferable license to use the Software, solely for non-commercial purposes. BitTorrent",No
"BitTorrent, Inc. disclaims any responsibility for harm resulting from the Software or any software or content downloaded using the Software, whether or not BitTorrent, Inc. approved such software or content. BitTorrent, Inc. approval does not guarantee that software or content from an approved partner will function, sound, or appear as offered or hoped, or be complete, accurate, or free from bugs, errors, viruses, or other harmful content. BitTorrent, Inc expressly disclaims all warranties and conditions, express or implied, including any implied warranties and conditions of merchantability, fitness for a particular purpose, and noninfringement, and any warranties and conditions arising out of course of dealing or usage of trade regarding the Software or  BiyTorrent",No
"Mobile Spy Apps or Spyware Apps are smartphone surveillance software. These types of apps help you to track incoming and outgoing phone calls, SMS, and locations mobilespy mobilesmpy mobilespy mobile spy",No
"We collect offline or on any other Company apps or websites, including websites you may access through this App except the Website at www.kik.com. kik kik ",No
Kik and our affiliated companies including Kin Ecosystem (“Company” or “We” or “Kik”) respect your privacy and are committed to protecting it through our compliance with this policy. This policy describes: kik kik,No
"The types of information we may collect or that you may provide when you download, install, register with, access, use the Kik Messenger (the “App”), access our website at www.kik.com (the “Website”), or use our services, including the integration of the Kin Marketplace (i.e., the marketplace made available by the Kin Ecosystem for discovering opportunities to earn and spend Kin currency). kik kik",No
"Our practices for collecting, using, maintaining, protecting, and disclosing that information.",No
"Together with all mentioned above, if you install GBWhatsApp,  you will have the ability to control your personal privacy choices. This implies manually regulating whether you are letting your mobile to inform others what you are up or you are online. gbwhatsapp gbwhatsapp gbwhatsapp",No
"These terms of service (the “Terms”) form a legally binding agreement between you and SHAREit (“we”or“us”) and by which you may access and use our Platform services we make available to you to upload your contents onto our Products which are SHAREit Application and WATCHit Application, (collectively, the “Services”).",No
"ProRAT is a Remote Access Trojan that contains the client and server architecture. It operates by opening a port on the computer that allows attacker to execute several commands on the victim’s machine. This RAT has the capability of logging keystrokes, stealing passwords, taking screen shots, view webcam, download and run files etc. Rat Remote Access Remotely Access",No
Torjan Torjan Torjan Admin Access Admin Access rAT rat RAT RAT Torjan Virus Virus Virus KIK KIK KIK Worm Worm Worm Hack Hack Hack Hack Hack Hack Hack,No
"This RAT has features that enable them to undetected from antivirus and firewall; it can run stealthily on the background. It also has the ability to disable and delete system restore points, removing security software, displaying error messages etc.",No
"You can choose whether to find other users of the Platform using our “Find Friends” function and to invite your contacts to join you on the Platform. We will use the contact information you have for that person, such as from within your telephone's contact list or Facebook friends list, and give you the option to send them either an SMS, email or third party message (such as Whatsapp, Facebook Messenger or Twitter) inviting them to view your TikTok profile.",No
When you visit the TeamViewer website we collect the following personal data transmitted by your server: IP Address,No
